Asin,Img_URL,Web_URL,Title,Type,Text
B0848CGR8Y,https://m.media-amazon.com/images/I/81lleqz5QXL.jpg,https://music.amazon.com/albums/B0848CGR8Y,Intentions [feat. Quavo],Song,Intentions [feat. Quavo] is a R&B song by Justin Bieber from 2020s
B0848CGR8Y,https://m.media-amazon.com/images/I/81lleqz5QXL.jpg,https://music.amazon.com/albums/B0848CGR8Y,Intentions [feat. Quavo],Song,Intentions [feat. Quavo] is a R&B song by Justin Bieber and Quavo from 2020s
B07K8SF3PC,https://m.media-amazon.com/images/I/71w7GcgaijL.jpg,https://music.amazon.com/albums/B07K8SF3PC,Someone You Loved,Song,Someone You Loved is a Pop song by Lewis Capaldi from 2010s
B07K8SF3PC,https://m.media-amazon.com/images/I/71w7GcgaijL.jpg,https://music.amazon.com/albums/B07K8SF3PC,Someone You Loved,Song,Someone You Loved is a Adult Contemporary song by Lewis Capaldi from 2010s
B07K8SF3PC,https://m.media-amazon.com/images/I/71w7GcgaijL.jpg,https://music.amazon.com/albums/B07K8SF3PC,Someone You Loved,Song,Someone You Loved is a Singer-Songwriter song by Lewis Capaldi from 2010s
B07K8SF3PC,https://m.media-amazon.com/images/I/71w7GcgaijL.jpg,https://music.amazon.com/albums/B07K8SF3PC,Someone You Loved,Song,Someone You Loved is a Spring song by Lewis Capaldi from 2010s
B081CB3TWX,https://m.media-amazon.com/images/I/81KckBO-UcL.jpg,https://music.amazon.com/albums/B081CB3TWX,My Oh My,Song,My Oh My is a Pop song by Camila Cabello from 2010s
B081CB3TWX,https://m.media-amazon.com/images/I/81KckBO-UcL.jpg,https://music.amazon.com/albums/B081CB3TWX,My Oh My,Song,My Oh My is a Pop song by Camila Cabello and DaBaby from 2010s
B07WK4XJ2C,https://m.media-amazon.com/images/I/71ixCWB08ZL.jpg,https://music.amazon.com/albums/B07WK4XJ2C,hot girl bummer,Song,hot girl bummer is a Pop song by blackbear from 2010s
B07WK4XJ2C,https://m.media-amazon.com/images/I/71ixCWB08ZL.jpg,https://music.amazon.com/albums/B07WK4XJ2C,hot girl bummer,Song,hot girl bummer is a Contemporary Rap song by blackbear from 2010s
B07N7PRLYZ,https://m.media-amazon.com/images/I/61e23dfEOBL.jpg,https://music.amazon.com/albums/B07N7PRLYZ,bad guy,Song,bad guy is a Pop song by Billie Eilish from 2010s
B07N7PRLYZ,https://m.media-amazon.com/images/I/61e23dfEOBL.jpg,https://music.amazon.com/albums/B07N7PRLYZ,bad guy,Song,bad guy is a Modern Pop song by Billie Eilish from 2010s
B07N7PRLYZ,https://m.media-amazon.com/images/I/61e23dfEOBL.jpg,https://music.amazon.com/albums/B07N7PRLYZ,bad guy,Song,bad guy is a Alternative Pop song by Billie Eilish from 2010s
B07N7PRLYZ,https://m.media-amazon.com/images/I/61e23dfEOBL.jpg,https://music.amazon.com/albums/B07N7PRLYZ,bad guy,Song,bad guy is a Dance Pop song by Billie Eilish from 2010s
B081BCLTVJ,https://m.media-amazon.com/images/I/71K7en17sQL.jpg,https://music.amazon.com/albums/B081BCLTVJ,everything i wanted,Song,everything i wanted is a Pop song by Billie Eilish from 2010s
B081BCLTVJ,https://m.media-amazon.com/images/I/71K7en17sQL.jpg,https://music.amazon.com/albums/B081BCLTVJ,everything i wanted,Song,everything i wanted is a Alternative song by Billie Eilish from 2010s
B081BCLTVJ,https://m.media-amazon.com/images/I/71K7en17sQL.jpg,https://music.amazon.com/albums/B081BCLTVJ,everything i wanted,Song,everything i wanted is a Alternativa song by Billie Eilish from 2010s
B081VWF5PJ,https://m.media-amazon.com/images/I/71dLUo35XOL.jpg,https://music.amazon.com/albums/B081VWF5PJ,Blinding Lights,Song,Blinding Lights is a Pop song by The Weeknd from 2010s
B081VWF5PJ,https://m.media-amazon.com/images/I/71dLUo35XOL.jpg,https://music.amazon.com/albums/B081VWF5PJ,Blinding Lights,Song,Blinding Lights is a Electro Pop song by The Weeknd from 2010s
B081VWF5PJ,https://m.media-amazon.com/images/I/71dLUo35XOL.jpg,https://music.amazon.com/albums/B081VWF5PJ,Blinding Lights,Song,Blinding Lights is a R & B song by The Weeknd from 2010s
B081VWF5PJ,https://m.media-amazon.com/images/I/71dLUo35XOL.jpg,https://music.amazon.com/albums/B081VWF5PJ,Blinding Lights,Song,Blinding Lights is a R&B song by The Weeknd from 2010s
B081VWF5PJ,https://m.media-amazon.com/images/I/71dLUo35XOL.jpg,https://music.amazon.com/albums/B081VWF5PJ,Blinding Lights,Song,Blinding Lights is a Dance Pop song by The Weeknd from 2010s
B07HFJ9SZN,https://m.media-amazon.com/images/I/715NakGzkuL.jpg,https://music.amazon.com/albums/B07HFJ9SZN,Trampoline,Song,Trampoline is a Pop song by SHAED from 2010s
B07HFJ9SZN,https://m.media-amazon.com/images/I/715NakGzkuL.jpg,https://music.amazon.com/albums/B07HFJ9SZN,Trampoline,Song,Trampoline is a Alternative song by SHAED from 2010s
B07HFJ9SZN,https://m.media-amazon.com/images/I/715NakGzkuL.jpg,https://music.amazon.com/albums/B07HFJ9SZN,Trampoline,Song,Trampoline is a Alternativa song by SHAED from 2010s
B07HFJ9SZN,https://m.media-amazon.com/images/I/715NakGzkuL.jpg,https://music.amazon.com/albums/B07HFJ9SZN,Trampoline,Song,Trampoline is a Alternative Pop song by SHAED from 2010s
B083WP23JH,https://m.media-amazon.com/images/I/81tIui3HmTL.jpg,https://music.amazon.com/albums/B083WP23JH,What A Man Gotta Do,Song,What A Man Gotta Do is a Pop song by Jonas Brothers from 2020s
B07XCFCX2Y,https://m.media-amazon.com/images/I/A1fLU+DegLL.jpg,https://music.amazon.com/albums/B07XCFCX2Y,We Back,Song,We Back is a Country song by Jason Aldean from 2010s
